8748,8818,8961
1651,8063,9574,9712
3213,7949,8505,9333
5922,6514,7634,8930
5941,6742,7064,9253
6136,6234,7514,9116
6200,7202,7334,8250
6210,6977,7488,8324
16,5673,5801,7957,9553
955,3147,6785,8172,9938
1643,3309,6932,7759,9353
1770,3349,6938,8365,8578
2644,3018,5576,7948,9814
2786,3356,6346,8033,8473
3440,5185,5503,6643,8229
3462,3893,5823,6651,9171
3955,4448,6033,7074,7490
1709,1797,3797,6287,7210,8200
1710,2266,3134,5158,7915,8817
1727,3274,4115,4272,6447,9165
1729,2524,4586,4815,5764,9582
1731,3940,4243,4659,6613,7814
1763,3692,3974,4249,6609,8713
1766,3239,3590,5280,7541,7584
1811,2454,3208,6935,7091,7501
1825,3293,3588,5711,5926,8657
1873,2253,2970,5229,7735,8940
1875,3182,3489,5118,7205,8131
1908,3888,4222,4486,5095,9401
1918,2660,3398,4570,7992,8462
1926,2265,3815,4660,7645,8689
1929,2595,4364,5300,7172,7640
1941,1942,2601,5129,8515,8872
2008,2647,4142,5557,6047,8599
2037,2685,3835,6158,6817,7468
2039,3178,3679,3802,6445,9857
2065,2842,3096,3457,8508,9032
2100,2284,3083,6246,7396,7891
2187,2520,5043,5161,5663,8426
2189,2401,3945,3947,6615,9903
2208,2899,4225,4938,5542,9188
2225,2591,4117,4672,7517,7878
2234,2465,2588,6414,7624,7675
2249,2584,4162,5767,6918,7320
2299,2388,3670,5081,6112,9450
2341,2627,4264,5496,7093,7179
2372,3812,4951,5337,5563,6965
2446,3778,4254,4886,6081,7555
2449,2470,2486,3804,8531,9260
2451,2906,4388,4479,7004,7772
2530,3308,4691,4848,5786,7837
2609,4241,4348,5086,5736,6980
2836,3899,4324,5013,6392,6536
2923,3520,4433,5038,5629,7457
2939,3343,3766,4139,7073,7740
3080,3820,3906,4990,5813,7391
