42878,67110,80012
51458,61164,77371
55974,65902,68124
40257,74662,75077
46025,70755,73138
47570,70550,70736
49463,62179,78182
56238,61017,72735
57570,61061,71332
52950,60209,76814
58681,60989,70325
57376,64542,68082
59241,60559,70200
59429,63132,67439
59605,64663,65650
55061,57769,77164
55822,60039,74138
57446,65258,67119
58350,59140,72438
45676,68571,75725
54692,64618,70684
58753,61557,69385
45470,68463,76067
55018,59402,75572
40638,73529,74497
59280,60327,70390
48183,64494,77321
49467,66066,74413
50468,61507,76369
36967,75177,77824
55957,63123,70901
59267,60727,70002
16097,25446,58844,89613
16109,28649,56243,88999
16201,20587,64880,88332
16250,24353,61135,88262
16279,20195,62155,91371
16402,21884,62600,89114
16534,24495,62009,86962
16824,24747,58076,90353
16875,29958,60373,82794
16927,30206,60943,81924
17288,22821,59625,90266
17474,35973,52388,84165
17539,34912,52361,85188
17549,20127,60560,91764
17618,17782,66912,87688
17688,36010,52637,83665
17743,39391,48466,84400
17938,18620,66368,87074
17963,36664,50118,85255
18884,26507,57257,87352
18934,22154,61411,87501
19479,32623,53547,84351
19593,25746,57217,87444
19664,27496,56803,86037
20081,30482,55552,83885
39320,46894,49244,54540
19764,29899,54223,86114
20070,23766,57911,88253
20424,21315,63961,84300
20629,26222,54738,88411
20650,27967,53702,87681
20740,26998,56737,85525
20758,22070,58103,89069
20875,28380,56197,84548
20981,27268,56980,84771
21154,25938,55158,87750
21360,33797,51107,83736
21418,22096,58800,87686
21567,32366,50303,85764
21603,27284,56465,84648
21713,26100,55967,86220
21949,27766,56218,84067
22052,36360,48134,83454
22342,25180,59098,83380
22750,24786,56598,85866
23252,28632,52739,85377
23863,37219,47345,81573
24179,31406,50219,84196
24203,29671,49099,87027
24520,29752,54986,80742
24683,27842,53445,84030
24991,30466,51559,82984
25331,27144,53170,84355
25391,31722,46936,85951
25775,27029,52071,85125
25819,33801,47528,82852
26534,27483,53633,82350
26570,26794,49552,87084
27121,30683,47987,84209
27224,36738,44932,81106
27434,30948,49409,82209
27916,27997,53245,80842
27918,32245,48105,81732
27941,29291,47954,84814
28389,34114,49414,78083
28937,33463,44540,83060
29120,34860,53578,72442
29383,34123,44862,81632
29470,34418,44425,81687
29533,29748,47061,83658
29573,32908,49133,78386
29699,34138,48904,77259
30283,37231,39065,83421
30295,31219,47143,81343
31124,35833,42953,80090
31153,36291,40673,81883
31267,31734,48505,78494
31458,36179,43990,78373
31467,32411,42766,83356
31596,34032,44206,80166
31636,36674,44708,76982
31718,36068,41102,81112
31771,34614,54097,69518
31793,33896,43483,80828
31927,33424,47836,76813
32290,38640,44849,74221
32595,42987,43126,71292
32752,35683,43402,78163
37267,40862,47886,63985
32941,40585,42286,74188
33197,38579,40594,77630
33646,39483,41196,75675
33971,36952,48011,71066
34370,34906,41495,79229
34595,45227,53302,56876
34873,35278,40696,79153
35038,38603,44698,71661
35092,38737,40961,75210
35116,41541,52033,61310
35157,36831,47010,71002
35362,36676,38334,79628
35610,38378,44556,71456
36154,39093,42992,71761
36204,37657,40921,75218
36856,39870,44313,68961
37278,37649,48586,66487
23162,40668,46200,79970
27134,38936,43449,80481
29885,37766,41699,80650
30540,39892,42838,76730
30588,41187,44798,73427
30776,37814,41159,80251
35077,45369,47040,62514
28083,39811,46668,75438
42840,43260,49620,54280
36945,39406,51910,61739
41057,45918,46103,56922
37008,47162,51640,54190
37145,37440,42075,73340
39944,45841,50832,53383
40000,44306,47380,58314
40317,46373,46869,56441
40504,41216,42391,65889
43904,45787,49218,51091
38436,40072,46911,64581
44198,44405,46649,54748
41395,42757,44220,61628
